Text,Label
# ─────────────────────────────────────────────────────────────
# TCT English — Intent Classification Seed Dataset
# Format  : Text,Label
# Intents : MyVocabulary | MyProgress | CardLookup |
#           SpeakingSuggestion | ClassInfo | WebsiteGuide |
#           StudyRecommendation | OutOfScope | Greeting
# Rules   :
#   - ≥50 samples per intent
#   - All Vietnamese, mixed with some common English shorthand
#   - Varied phrasing (formal, casual, typo-tolerant variants)
#   - OutOfScope MUST include strong general-English-tutoring coverage
#   - Comments (lines starting with #) are stripped by the trainer
# ─────────────────────────────────────────────────────────────

# ═══════════════════════════════════════
# Intent: MyVocabulary
# Domain: User's own sets and flashcards
# ═══════════════════════════════════════
Tôi có những bộ từ vựng nào?,MyVocabulary
Các bộ từ của tôi là gì?,MyVocabulary
Cho tôi xem danh sách set từ vựng,MyVocabulary
Tôi tạo được bao nhiêu bộ từ rồi?,MyVocabulary
Liệt kê bộ từ vựng của tôi,MyVocabulary
Hiển thị set từ của tôi,MyVocabulary
Tôi đang có bao nhiêu set?,MyVocabulary
Set từ vựng nào quan trọng nhất?,MyVocabulary
Bộ từ vựng gần đây nhất của tôi là gì?,MyVocabulary
Tôi có bao nhiêu thẻ từ tổng cộng?,MyVocabulary
Xem bộ từ của tôi đi,MyVocabulary
Bộ thẻ TOEIC của tôi có bao nhiêu từ?,MyVocabulary
Danh sách flashcard của tôi,MyVocabulary
Tôi có bộ từ nào chưa hoàn thành?,MyVocabulary
Có bao nhiêu từ trong bộ Business English của tôi?,MyVocabulary
Bộ từ nào tôi tạo gần đây nhất?,MyVocabulary
Tôi muốn xem set từ vựng của mình,MyVocabulary
Có bao nhiêu thẻ trong bộ từ của tôi?,MyVocabulary
Set từ nào nhiều thẻ nhất?,MyVocabulary
Hiện tại tôi lưu bao nhiêu bộ từ?,MyVocabulary
Bộ từ mới nhất tôi thêm vào là gì?,MyVocabulary
Tôi có bộ từ vựng nào chưa học?,MyVocabulary
Tên các bộ từ vựng của tôi là gì?,MyVocabulary
Xem tất cả bộ từ vựng tôi đã tạo,MyVocabulary
Bộ flashcard của tôi,MyVocabulary
Tôi học từ vựng thông qua những bộ nào?,MyVocabulary
Danh sách các set mà tôi đang có,MyVocabulary
Set nào tôi chưa ôn lại lần nào?,MyVocabulary
Tôi có tổng cộng bao nhiêu bộ từ vựng?,MyVocabulary
Cho tôi biết các set từ vựng của tôi,MyVocabulary
Bộ từ vựng nào đang có ít thẻ nhất?,MyVocabulary
Xem set từ gần đây của tôi,MyVocabulary
Những bộ từ tôi đã lưu là gì?,MyVocabulary
Các tập flashcard của tôi,MyVocabulary
Tôi muốn kiểm tra bộ từ của mình,MyVocabulary
Set nào có nhiều thẻ nhất trong bộ sưu tập của tôi?,MyVocabulary
Danh sách set từ vựng đang có của tôi,MyVocabulary
Bộ từ vựng tôi đang học,MyVocabulary
Tôi lưu set từ ở đâu?,MyVocabulary
Số lượng thẻ trong mỗi bộ từ của tôi là bao nhiêu?,MyVocabulary
Bộ thẻ Daily English của tôi có gì?,MyVocabulary
Set mà tôi hay học nhất là set nào?,MyVocabulary
Xem vocabulary của tôi,MyVocabulary
Có bộ nào tôi chưa hoàn thành không?,MyVocabulary
Tôi có folder nào chứa set từ không?,MyVocabulary
Set của tôi,MyVocabulary
Xem flashcard,MyVocabulary
Bộ từ vụ của tôi là gì?,MyVocabulary
Các set tôi đã tạo,MyVocabulary
Liệt kê tất cả set của tôi,MyVocabulary
Từ vựng của mình đang ở đâu?,MyVocabulary
Bộ từ tôi còn gì?,MyVocabulary
Set TOEIC của tôi,MyVocabulary

# ═══════════════════════════════════════
# Intent: MyProgress
# Domain: Learning progress, streak, mastery
# ═══════════════════════════════════════
Tiến độ học của tôi như thế nào?,MyProgress
